shap,b,h,t,l,fy,fc,et,eb,n,A
1.00,169.30,169.30,2.62,305.00,338.10,37.10,0.00,0.00,1308.00,28662.49
1.00,169.30,169.30,2.62,305.00,338.10,34.10,0.00,0.00,1330.00,28662.49
1.00,168.30,168.30,3.60,305.00,288.40,27.00,0.00,0.00,1557.00,28324.89
1.00,168.30,168.30,3.60,305.00,288.40,33.30,0.00,0.00,1432.00,28324.89
1.00,168.30,168.30,3.60,305.00,288.40,33.30,0.00,0.00,1463.00,28324.89
1.00,168.80,168.80,5.00,305.00,200.20,33.40,0.00,0.00,1966.00,28493.44
1.00,168.80,168.80,5.00,305.00,200.20,33.40,0.00,0.00,1970.00,28493.44
1.00,168.80,168.80,5.00,305.00,200.20,27.90,0.00,0.00,1984.00,28493.44
1.00,168.80,168.80,5.00,305.00,200.20,27.90,0.00,0.00,1984.00,28493.44
1.00,168.80,168.80,2.64,1830.00,200.20,18.20,0.00,0.00,823.00,28493.44
1.00,168.80,168.80,2.64,1830.00,200.20,34.70,0.00,0.00,916.00,28493.44
1.00,169.30,169.30,2.62,1830.00,338.10,37.10,0.00,0.00,756.00,28662.49
1.00,169.30,169.30,2.62,1830.00,338.10,34.10,0.00,0.00,689.00,28662.49
1.00,168.30,168.30,3.60,2135.00,288.40,27.00,0.00,0.00,947.00,28324.89
1.00,168.30,168.30,3.60,2135.00,288.40,33.30,0.00,0.00,1050.00,28324.89
1.00,168.80,168.80,5.00,2135.00,302.40,33.40,0.00,0.00,1130.00,28493.44
1.00,168.80,168.80,5.00,2135.00,302.40,27.80,0.00,0.00,1165.00,28493.44
1.00,114.30,114.30,3.50,229.00,350.00,33.40,0.00,0.00,969.00,13064.49
1.00,114.30,114.30,4.50,229.00,339.00,33.40,0.00,0.00,1069.00,13064.49
1.00,178.00,178.00,9.00,360.00,283.31,22.16,0.00,0.00,2922.38,31684
1.00,178.00,178.00,9.00,360.00,283.31,22.16,0.00,0.00,2853.74,31684
1.00,179.00,179.00,5.50,360.00,248.50,22.16,0.00,0.00,1814.23,32041
1.00,179.00,179.00,5.50,360.00,248.50,23.93,0.00,0.00,1814.23,32041
1.00,179.00,179.00,5.50,360.00,248.50,43.64,0.00,0.00,2039.78,32041
1.00,179.00,179.00,5.50,360.00,248.50,43.64,0.00,0.00,2029.98,32041
1.00,174.00,174.00,3.00,360.00,265.96,23.93,0.00,0.00,1314.09,30276
1.00,174.00,174.00,3.00,360.00,265.96,23.93,0.00,0.00,1304.28,30276
1.00,174.00,174.00,3.00,360.00,265.96,45.70,0.00,0.00,1608.29,30276
1.00,174.00,174.00,3.00,360.00,265.96,45.70,0.00,0.00,1676.94,30276
1.00,159.00,159.00,5.07,477.00,381.50,41.50,0.00,0.00,2230.00,25281
1.00,165.00,165.00,4.50,660.00,254.40,33.20,0.00,0.00,1647.00,27225
1.00,114.00,114.00,4.50,456.00,271.00,33.20,0.00,0.00,1033.00,12996
1.00,88.50,88.50,4.00,354.00,232.00,33.20,0.00,0.00,602.00,7832.25
1.00,60.00,60.00,3.50,240.00,223.00,33.20,0.00,0.00,334.00,3600
1.00,48.00,48.00,3.50,192.00,304.00,33.20,0.00,0.00,273.00,2304
1.00,131.76,131.76,2.38,264.00,235.00,17.40,0.00,0.00,535.00,17360.6976
1.00,134.30,134.30,3.12,264.00,235.00,26.60,0.00,0.00,681.00,18036.49
1.00,130.60,130.60,4.30,264.00,235.00,26.60,0.00,0.00,725.00,17056.36
1.00,132.45,132.45,5.25,264.00,235.00,26.60,0.00,0.00,872.00,17543.0025
1.00,134.10,134.10,6.20,264.00,235.00,26.60,0.00,0.00,1006.00,17982.81
1.00,101.80,101.80,2.94,200.00,320.00,18.00,0.00,0.00,628.00,10363.24
1.00,101.80,101.80,2.94,200.00,320.00,37.40,0.00,0.00,660.00,10363.24
1.00,101.80,101.80,5.70,200.00,305.00,18.00,0.00,0.00,954.00,10363.24
1.00,101.80,101.80,5.70,200.00,305.00,37.40,0.00,0.00,971.00,10363.24
1.00,100.00,100.00,0.52,200.00,244.00,18.00,0.00,0.00,239.00,10000
1.00,100.00,100.00,0.52,200.00,244.00,37.40,0.00,0.00,396.00,10000
1.00,86.49,86.49,2.74,270.00,226.70,30.20,0.00,0.00,412.00,7480.5201
1.00,89.27,89.27,4.00,270.00,226.70,30.20,0.00,0.00,491.00,7969.1329
1.00,86.54,86.54,2.80,270.00,226.70,48.00,0.00,0.00,489.00,7489.1716
1.00,89.19,89.19,4.05,270.00,226.70,48.00,0.00,0.00,605.00,7954.8561
1.00,165.20,165.20,4.17,660.80,358.70,40.90,0.00,0.00,1594.00,27291.04
1.00,76.00,76.00,2.20,266.00,390.00,57.00,0.00,0.00,470.00,5776
1.00,76.00,76.00,2.20,266.00,390.00,57.00,0.00,0.00,480.00,5776
1.00,76.00,76.00,2.20,266.00,390.00,57.00,0.00,0.00,420.00,5776
1.00,76.00,76.00,2.20,266.00,390.00,57.00,0.00,0.00,465.00,5776
1.00,101.70,101.70,2.40,356.00,380.00,57.00,0.00,0.00,770.00,10342.89
1.00,101.70,101.70,2.40,356.00,380.00,57.00,0.00,0.00,775.00,10342.89
1.00,101.70,101.70,2.40,356.00,380.00,57.00,0.00,0.00,740.00,10342.89
1.00,101.70,101.70,2.40,356.00,380.00,57.00,0.00,0.00,690.00,10342.89
1.00,101.70,101.70,2.40,356.00,380.00,57.00,0.00,0.00,775.00,10342.89
1.00,165.00,165.00,2.82,580.50,363.30,48.30,0.00,0.00,1661.60,27225
